Offset(P)    #Ptr   #Hnd Access Name
0x015acd38      1      0 -W---- \Device\HarddiskVolume1\Documents and Settings\Administrator\Application Data\Microsoft\Internet Explorer\547191804.dat
0x0166e828      1      1 ------ \Device\Afd\Endpoint
0x0166f080      3      1 ------ \Device\NamedPipe\net\NtControlPipe3
0x0166f8b0      3      1 ------ \Device\NamedPipe\net\NtControlPipe16
0x0166fbd0      3      1 ------ \Device\NamedPipe\net\NtControlPipe2
0x0166fcd8      1      1 ------ \Device\NamedPipe\net\NtControlPipe3
0x016704c8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x016714a0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\TPVMW32.dll
0x01671868      1      1 ------ \Device\NamedPipe\keysvc
0x016722a0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\clusapi.dll
0x016726c8      1      1 R--rw- \Device\HarddiskVolume1\Program Files\VMware\VMware Tools
0x01672c88      3      1 ------ \Device\NamedPipe\net\NtControlPipe1
0x0167d478      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\netcfgx.dll
0x01697a70      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01699d60      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\winrnr.dll
0x0169a298      2      1 ------ \Device\NamedPipe\trkwks
0x0169a940      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\shdocvw.dll
0x0169ab18      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\activeds.dll
0x0169ad60      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\iertutil.dll
0x0169af30      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\normaliz.dll
0x0169b628      2      1 ------ \Device\NamedPipe\ntsvcs
0x0169b998      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\icaapi.dll
0x0169cea8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\userenv.dll
0x016a0288      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Administrator
0x016a0470      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Programs\desktop.ini
0x016a0548      3      0 RWD--- \Device\HarddiskVolume1\$Directory
